Myelinated_axonDiam,Myelinated_axonDiamCount,Unmyelinated_axonDiam,Unmyelinated_axonCount,Myelinated_gRatio,Myelinated_gRatioCount,,,
0.25,0.006181459,0.25,0.006181459,0.475,0.004856208,,,
0.5,0.034824645,0.5,0.034824645,0.500,0.010909356,,,
0.75,0.126587446,0.75,0.126587446,0.525,0.005219136,,,
1,0.181051386,1,0.181051386,0.550,0.061825093,,,
1.25,0.143710417,1.25,0.143710417,0.575,0.033669302,,,
1.5,0.141751228,1.5,0.141751228,0.600,0.095886378,,,
1.75,0.106322907,1.75,0.106322907,0.625,0.107045338,,,
2,0.076630316,2,0.076630316,0.650,0.168757106,,,
2.25,0.055546859,2.25,0.055546859,0.675,0.179916065,,,
2.5,0.033504861,2.5,0.033504861,0.700,0.14103807,,,
2.75,0.024853619,2.75,0.024853619,0.725,0.089906127,,,
3,0.019069133,3,0.019069133,0.750,0.072988395,,,
3.25,0.013286863,3.25,0.013286863,0.775,0.027983426,,,
3.5,0.013240323,3.5,0.013240323,,,,,
3.75,0.008412161,3.75,0.008412161,,,,,
4,0.00454254,4,0.00454254,,,,,
4.25,0.005452324,4.25,0.005452324,,,,,
4.5,0.002539027,4.5,0.002539027,,,,,
4.75,0.002492486,4.75,0.002492486,,,,,
