Myelinated_fibreDiam_55F,Myelinated_fibreDiamCount_55F,Myelinated_axonDiam_55F,Myelinated_axonDiamCount_55F,Myelinated_fibreDiam_19M,Myelinated_fibreDiamCount_19M,Myelinated_axonDiam_19M,Myelinated_axonDiamCount_19M
1.75,0,0.75,0.048543689,1.75,0.221674877,0.75,0
2.25,0.384726294,1.25,0.436893204,2.25,0.221674877,1.25,0.610972009
2.75,1.273369539,1.75,1.601941748,2.75,1.009852217,1.75,1.604880601
3.25,2.409285337,2.25,3.883495146,3.25,1.403940887,2.25,3.640831122
3.75,6.862594319,2.75,6.990291262,3.75,2.63546798,2.75,6.669344893
4.25,8.988561542,3.25,13.6407767,4.25,4.60591133,3.25,9.251354684
4.75,10.17422021,3.75,13.10679612,4.75,7.807881773,3.75,13.66945701
5.25,7.547940597,4.25,11.65048544,5.25,10.32019704,4.25,15.65577936
5.75,7.198779257,4.75,9.174757282,5.75,10.81280788,4.75,12.38166598
6.25,4.919017638,5.25,8.349514563,6.25,10.02463054,5.25,10.29847902
6.75,2.837506608,5.75,7.427184466,6.75,10.81280788,5.75,8.066407564
7.25,2.834863267,6.25,5.72815534,7.25,7.019704433,6.25,5.437310811
7.75,2.634690248,6.75,4.223300971,7.75,5.738916256,6.75,3.106132516
8.25,1.641995482,7.25,5.145631068,8.25,5.640394089,7.25,3.752494488
8.75,2.282885567,7.75,2.815533981,8.75,4.014778325,7.75,2.314473635
9.25,3.419041669,8.25,2.13592233,9.25,3.522167488,8.25,1.472140215
9.75,3.317633489,8.75,1.601941748,9.75,2.931034483,8.75,0.728913637
10.25,3.01797472,9.25,0.72815534,10.25,2.142857143,9.25,0.481968683
10.75,3.857115394,9.75,0.097087379,10.75,3.02955665,9.75,0
11.25,4.597250925,10.25,0.097087379,11.25,1.995073892,10.25,0.236369072
11.75,3.90181189,10.75,0,11.75,1.748768473,10.75,0
12.25,3.404142837,11.25,0,12.25,1.256157635,11.25,0.089876303
12.75,3.401499495,13.25,0,12.75,0.369458128,13.25,0.094809223
13.25,4.191377902,,,13.25,0.467980296,,
13.75,2.555390013,,,13.75,0.221674877,,
14.25,1.216177248,,,14.25,0.320197044,,
14.75,0.718748498,,,14.75,0.369458128,,
15.25,0.320084587,,,15.25,0.221674877,,
15.75,0.169173836,,,15.75,0.221674877,,
16.25,0.166530495,,,16.25,0,,
16.75,0.065122315,,,16.75,0,,
17.25,0,,,17.25,0.221674877,,
17.75,0,,,17.75,0,,
