Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_axonDiam,Myelinated_axonCount,Myelinated_MyelinThickness,Myelinated_MyelinThicknessCount
0.5,0,0.05,2.796420582,0.25,0.862068966,0.1,0
1.5,5.655526992,0.15,3.467561521,0.75,2.370689655,0.3,12.40437158
2.5,20.5655527,0.25,3.020134228,1.25,16.1637931,0.5,25.30054645
3.5,32.58354756,0.35,4.865771812,1.75,18.75,0.7,28.19672131
4.5,20.62982005,0.45,7.88590604,2.25,20.68965517,0.9,17.92349727
5.5,11.63239075,0.55,12.19239374,2.75,16.1637931,1.1,10
6.5,4.755784062,0.65,47.0917226,3.25,11.42241379,1.3,1.912568306
7.5,0.899742931,0.75,18.23266219,3.75,6.896551724,1.5,0
8.5,0,0.85,0.894854586,4.25,2.155172414,,
,,,,4.75,0.862068966,,
,,,,5.25,0.431034483,,
,,,,5.75,0.215517241,,
