Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_axonDiam,Myelinated_axonCount,Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_MyelinThickness,Myelinated_MyelinThicknessCount
0.5,1.928020566,0.25,6.896551724,0.05,0.67114094,0.1,2.076502732
1.5,17.86632391,0.75,17.67241379,0.15,1.006711409,0.3,14.31693989
2.5,23.45758355,1.25,17.67241379,0.25,3.691275168,0.5,23.22404372
3.5,23.5218509,1.75,18.75,0.35,10.79418345,0.7,21.42076503
4.5,13.68894602,2.25,14.65517241,0.45,17.7852349,0.9,14.20765027
5.5,10.79691517,2.75,9.482758621,0.55,33.89261745,1.1,12.18579235
6.5,3.791773779,3.25,5.818965517,0.65,24.83221477,1.3,5.300546448
7.5,1.799485861,3.75,3.879310345,0.75,5.704697987,1.5,1.912568306
8.5,0.771208226,4.25,0.862068966,0.85,0.391498881,1.7,0.819672131
,,4.75,0.862068966,,,1.9,0.87431694
,,5.25,0.431034483,,,2.1,0
,,5.75,0.431034483,,,,
