proximal_4WK_fibreDiam,proximal_4WK_fibreCount,distal_4WK_fibreDiam,distal_4WK_fibreCount,proximal_7WK_fibreDiam,proximal_7WK_fibreCount,distal_7WK_fibreDiam,distal_7WK_fibreCount
1,0.003149627,2,0.08344314,2,0.058257557,2,0.063056514
2,0.071615281,3,0.157250394,3,0.166413747,3,0.153262631
3,0.150065509,4,0.246873489,4,0.164659863,4,0.132175487
4,0.178117409,5,0.323609603,5,0.214353248,5,0.238196962
5,0.184298336,6,0.130890661,6,0.162905979,6,0.24229724
6,0.109651755,7,0.049468372,7,0.086319703,7,0.115774374
7,0.081599856,8,0.008464342,8,0.068780862,8,0.044312386
8,0.031201527,,,9,0.05124202,9,0.010924407
9,0.006002363,,,10,0.021425989,,
,,,,11,0.005641032,,
