distal_7WK_fibreDiam,distal_7WK_fibreCount,proximal_7WK_fibreDiam,proximal_7WK_fibreCount,g_ratio_7WK,g_ratio_count_7WK,distal_4WK_fibreDiam,distal_4WK_fibreCount,proximal_4WK_fibreDiam,proximal_4WK_fibreCount,g_ratio_4WK,g_ratio_count_4WK
2,0.06586194,2,0.034420699,0.1,0,2,0.070572238,2,0.063111143,0.1,0
3,0.180814699,3,0.191712165,0.2,12,3,0.206022028,3,0.256871241,0.2,24
4,0.233869818,4,0.183616281,0.3,180,4,0.250979831,4,0.180098372,0.3,199
5,0.308736487,5,0.146606524,0.4,492,5,0.282680845,5,0.139274703,0.4,584
6,0.169024672,6,0.096874664,0.5,1285,6,0.118988333,6,0.122214066,0.5,1075
7,0.041692385,7,0.071430456,0.6,1942,7,0.033683784,7,0.122214066,0.6,1331
,,8,0.083574282,0.7,1498,8,0.019850614,8,0.088092791,0.7,959
,,9,0.085887392,0.8,496,9,0.012357647,9,0.025943325,0.8,281
,,10,0.059864907,0.9,55,10,0.00486468,10,0.002180294,0.9,22
,,11,0.029216202,1,1,,,,,1,2
,,12,0.008976491,,,,,,,,
,,13,0.007819936,,,,,,,,
