Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_axonDiam,Myelinated_axonCount,Myelinated_fibreDiam,Myelinated_fibreDiamCount,Unmyelinated_axonDiam,Unmyelinated_axonCount
0.4,3.115577889,1,6.234413965,2,5.40315877,0.1,0
0.5,26.23115578,1.5,47.04904406,2.5,26.84954281,0.2,1.02
0.6,47.63819095,2,27.01579385,3,34.66334165,0.3,6.345
0.7,21.50753769,2.5,6.317539485,3.5,15.41978387,0.5,15.48
0.8,0.703517588,3,2.493765586,4,3.948462178,0.6,15.405
0.9,0.804020101,3.5,2.493765586,4.5,0.914380715,0.7,15.555
,,4,2.576891106,5,0.914380715,0.8,13.065
,,4.5,0.914380715,5.5,0.914380715,0.9,9.3
,,5,0.914380715,6,0.08312552,1,5.97
,,5.5,2.327514547,6.5,1.579384871,1.1,3.555
,,6,1.74563591,7,1.537822111,1.2,1.95
,,6.5,0.914380715,7.5,0.831255195,1.3,0.885
,,7,0,8,0.914380715,1.4,0.225
,,7.5,0.831255195,8.5,0.914380715,1.5,0.075
,,,,9,1.496259352,1.6,0.03
,,,,9.5,2.244389027,,
,,,,10,0.831255195,,
,,,,10.5,0.831255195,,
,,,,11,0.914380715,,
