distal_7WK_fibreDiam,distal_7WK_fibreCount,proximal_7WK_fibreDiam,proximal_7WK_fibreCount,g_ratio_7WK,g_ratio_count_7WK,distal_4WK_fibreDiam,distal_4WK_fibreCount,proximal_4WK_fibreDiam,proximal_4WK_fibreCount,g_ratio_4WK,g_ratio_count_4WK
2,0.053650305,2,0.047762912,0.1,0,2,0.061532291,2,0.067334258,0.1,0
3,0.143012428,3,0.172639452,0.2,12,3,0.126155754,3,0.214750441,0.2,24
4,0.124563474,4,0.146257084,0.3,180,4,0.196066592,4,0.234405932,0.3,199
5,0.175874629,5,0.194331621,0.4,492,5,0.309451396,5,0.242499369,0.4,584
6,0.236986791,6,0.183192399,0.5,1285,6,0.207228826,6,0.131503655,0.5,1075
7,0.156849144,7,0.125737465,0.6,1942,7,0.08091933,7,0.06559995,0.6,1331
8,0.072099259,8,0.068282532,0.7,1498,8,0.018645811,8,0.036116713,0.7,959
9,0.028859522,9,0.034278591,0.8,496,,,9,0.007789682,0.8,281
10,0.008104448,10,0.02079427,0.9,55,,,,,0.9,22
,,11,0.006723674,1,1,,,,,1,2
